"identifier","entityName","attributeName","attributeLabel","attributeDefinition","attributeUnit","viewURL","query_datetime_utc"
"doi:10.18739/A28G8FH70","14C-soil.csv","ID",NA,"Lake number",NA,"https://search.dataone.org/view/doi:10.18739/A28G8FH70",2020-09-13 16:42:40
"doi:10.18739/A28G8FH70","14C-soil.csv","region",NA,"Region",NA,"https://search.dataone.org/view/doi:10.18739/A28G8FH70",2020-09-13 16:42:40
"doi:10.18739/A28G8FH70","14C-soil.csv","biome",NA,"Biome",NA,"https://search.dataone.org/view/doi:10.18739/A28G8FH70",2020-09-13 16:42:40
"doi:10.18739/A28G8FH70","14C-soil.csv","depth",NA,"Depth of soil sample in meters","meter","https://search.dataone.org/view/doi:10.18739/A28G8FH70",2020-09-13 16:42:40
"doi:10.18739/A28G8FH70","14C-soil.csv","age_14C",NA,"Age of carbon 14","nominalYear","https://search.dataone.org/view/doi:10.18739/A28G8FH70",2020-09-13 16:42:40
"doi:10.18739/A28G8FH70","14C-soil.csv","age_plusMinus",NA,"Standard deviation","nominalYear","https://search.dataone.org/view/doi:10.18739/A28G8FH70",2020-09-13 16:42:40
"doi:10.18739/A28G8FH70","14C-soil.csv","fraction_modern",NA,"Fraction modern","dimensionless","https://search.dataone.org/view/doi:10.18739/A28G8FH70",2020-09-13 16:42:40
"doi:10.18739/A28G8FH70","14C-soil.csv","labID",NA,"Lab identifier",NA,"https://search.dataone.org/view/doi:10.18739/A28G8FH70",2020-09-13 16:42:40
"doi:10.18739/A28G8FH70","14C-soil.csv","fieldID",NA,"Field identifier",NA,"https://search.dataone.org/view/doi:10.18739/A28G8FH70",2020-09-13 16:42:40
"doi:10.18739/A28G8FH70","14C-soil.csv","material_dated",NA,"Material that was dated",NA,"https://search.dataone.org/view/doi:10.18739/A28G8FH70",2020-09-13 16:42:40
"doi:10.18739/A28G8FH70","14C-soil.csv","reference",NA,"Reference",NA,"https://search.dataone.org/view/doi:10.18739/A28G8FH70",2020-09-13 16:42:40
"doi:10.18739/A28G8FH70","14C-CH4.csv","ID",NA,"Lake identifier",NA,"https://search.dataone.org/view/doi:10.18739/A28G8FH70",2020-09-13 16:42:40
"doi:10.18739/A28G8FH70","14C-CH4.csv","Lake",NA,"Lake name",NA,"https://search.dataone.org/view/doi:10.18739/A28G8FH70",2020-09-13 16:42:40
"doi:10.18739/A28G8FH70","14C-CH4.csv","field_date",NA,"Field date",NA,"https://search.dataone.org/view/doi:10.18739/A28G8FH70",2020-09-13 16:42:40
"doi:10.18739/A28G8FH70","14C-CH4.csv","bubble_class",NA,"Bubble class",NA,"https://search.dataone.org/view/doi:10.18739/A28G8FH70",2020-09-13 16:42:40
"doi:10.18739/A28G8FH70","14C-CH4.csv","age_14C",NA,"Age of carbon 14","nominalYear","https://search.dataone.org/view/doi:10.18739/A28G8FH70",2020-09-13 16:42:40
"doi:10.18739/A28G8FH70","14C-CH4.csv","age_plusMinus",NA,"Standard deviation","nominalYear","https://search.dataone.org/view/doi:10.18739/A28G8FH70",2020-09-13 16:42:40
"doi:10.18739/A28G8FH70","14C-CH4.csv","fraction_modern",NA,"Fraction modern","dimensionless","https://search.dataone.org/view/doi:10.18739/A28G8FH70",2020-09-13 16:42:40
"doi:10.18739/A28G8FH70","14C-CH4.csv","labID",NA,"Lab identifier",NA,"https://search.dataone.org/view/doi:10.18739/A28G8FH70",2020-09-13 16:42:40
"doi:10.18739/A28G8FH70","table1.csv","lake_number",NA,"Lake number",NA,"https://search.dataone.org/view/doi:10.18739/A28G8FH70",2020-09-13 16:42:40
"doi:10.18739/A28G8FH70","table1.csv","region",NA,"Region",NA,"https://search.dataone.org/view/doi:10.18739/A28G8FH70",2020-09-13 16:42:40
"doi:10.18739/A28G8FH70","table1.csv","subregion",NA,"Subregion",NA,"https://search.dataone.org/view/doi:10.18739/A28G8FH70",2020-09-13 16:42:40
"doi:10.18739/A28G8FH70","table1.csv","lake_name",NA,"Lake name",NA,"https://search.dataone.org/view/doi:10.18739/A28G8FH70",2020-09-13 16:42:40
"doi:10.18739/A28G8FH70","table1.csv","lake_type",NA,"Lake type",NA,"https://search.dataone.org/view/doi:10.18739/A28G8FH70",2020-09-13 16:42:40
"doi:10.18739/A28G8FH70","table1.csv","ecozone",NA,"Ecozone",NA,"https://search.dataone.org/view/doi:10.18739/A28G8FH70",2020-09-13 16:42:40
"doi:10.18739/A28G8FH70","table1.csv","type",NA,"Permafrost type",NA,"https://search.dataone.org/view/doi:10.18739/A28G8FH70",2020-09-13 16:42:40
"doi:10.18739/A28G8FH70","table1.csv","latitude",NA,"Latitude","degree","https://search.dataone.org/view/doi:10.18739/A28G8FH70",2020-09-13 16:42:40
"doi:10.18739/A28G8FH70","table1.csv","longitude",NA,"Longitude","degree","https://search.dataone.org/view/doi:10.18739/A28G8FH70",2020-09-13 16:42:40
"doi:10.18739/A28G8FH70","table1.csv","area",NA,"Measurement of lake area in hectares.","hectare","https://search.dataone.org/view/doi:10.18739/A28G8FH70",2020-09-13 16:42:40
"doi:10.18739/A28G8FH70","table1.csv","max_depth",NA,"Max depth of lake in meters.","meter","https://search.dataone.org/view/doi:10.18739/A28G8FH70",2020-09-13 16:42:40
