"identifier","abstract","title","keywords"
"urn:uuid:f3d9d431-9bc2-4be1-89e4-c9e45b8e786b","This data set contains PRELIMINARY data from conductivity, temperature and depth (CTD) casts taken at the Ice Station. Parameters include pressure, temperature, conductivity and salinity. Data are ASCII text of CTD casts from selected days.","Ice Camp (PRELIMINARY) CTD cast data. (ASCII) (PSC) [McPhee, M.]","CTD ocean cast Oceanography Arctic"
"doi:10.18739/A2130H","Graph showing population, births, deaths and estimated net migration for Diomede, Nome Census Area, Alaska 1990-2006.","Graph of Diomede, Nome Census Area, Alaska population 1990-2006","EARTH SCIENCE > HUMAN DIMENSIONS > POPULATION > POPULATION SIZE OTHER UNKNOWN society"
"urn:uuid:6ed865aa-c88c-4096-98a6-fabab0a8ced9","This data set includes airborne measurements obtained from the NCAR Research Aviation Facility (RAF) Electra aircraft (Tail Number: N308D) during the BOReal Ecosystem Atmosphere Study (BOREAS). This dataset contains low rate navigation, state parameter, and microphysics flight-level data in NetCDF format.","Low Rate Navigation, State Parameter, and Microphysics Flight-Level Data [NCAR/EOL]","Aircraft, NCAR Electra (N308D) Aircraft"
"doi:10.5065/D6GF0RHK","This dataset contains the nitrate isotope data from the Bering Sea Ecosystem Study (BEST) 2007 cruise onboard the US Coast Guard Cutter Healy. These data are in Excel format.","HLY-07-01 Nitrate Isotope Data [Granger, J.]","Ship Oceanography Arctic oceans"
"urn:uuid:7e009729-5b6d-46d3-8af9-f450f7cfce00","This dataset contains data collected on species and land cover and abundance from Webber's Research on Arctic Tundra Environments (RATE) plots in 1975 at Atqasuk, Alaska.","Atqasuk RATE Plot Info [Webber]","Arctic Surface"
"doi:10.18739/A2QF9K","Airglow image data of various emissions are stored in .png image format. The filename indicates the observation site (PFRR = Poker Flat Research Range), the observation time (year, month, day, hour, min, and sec) of image acquisition start, and finally the emission identifier follows (for example OH or Na). Please note that this data set is the RAW data and contain the entire set of images obtained during the project period. This include high, medium, and low quality image data. While we do not require co-authorship in publications using the data set, we encourage users to contact the PI to make sure the data has been interpreted correctly. Otherwise, standard scientific ethic is expected.","Hydroxyl (OH) airglow image data, Alaska, March 22, 2012","EARTH SCIENCE > ATMOSPHERE > ATMOSPHERIC PRESSURE > GRAVITY WAVE EARTH REMOTE SENSING INSTRUMENTS > PASSIVE REMOTE SENSING > PHOTON/OPTICAL DETECTORS > CAMERAS > ASC > ALL-SKY CAMERA OBSERVATORY IMAGE 1 KILOMETER TO 10 KILOMETERS 1 MINUTE TO 1 HOUR geoscientificInformation"
"doi:10.5065/D65T3HJ8","This data set contains dissolved organic carbon (DOC) data collected during the SBI U.S. Coast Guard Cutter (USCGC) Healy Summer Cruise (HLY-02-03).","HLY-02-03 Dissolved Organic Carbon (DOC) Data [Hansell, D. and N.R. Bates]","Ship Oceanography Arctic"
"doi:10.18739/A2CG59","This data set contains temperature, salinity and pressure data from an ice tethered profiler embedded in the ice pack from Sep. 9, 2007 to Oct 24, 2009. The ice-tethered profiling (ITP) profiler was configured to operate on a standard sampling schedule of 2 one-way profiles each day.","WHOI Ice Tethered Profiler #11","EARTH SCIENCE > OCEANS > OCEAN TEMPERATURE > WATER TEMPERATURE EARTH SCIENCE > OCEANS > OCEAN TEMPERATURE > THERMOCLINE EARTH SCIENCE > OCEANS > SALINITY/DENSITY > SALINITY EARTH SCIENCE > OCEANS > SALINITY/DENSITY > PYCNOCLINE IN SITU/LABORATORY INSTRUMENTS > PROFILERS/SOUNDERS > CTD > CONDUCTIVITY, TEMPERATURE, DEPTH DRIFTING BUOY VERTICAL PROFILE 1 METER TO 30 METERS HOURLY TO DAILY oceans"
"doi:10.5065/D6VT1Q6Q","This data set contains major element geochemical analyses of tephra grains isolated from lake sediment recovered in continuous cores from lakes in Iceland, Svalbard, Arctic Canada, and from marine sediment cores from Greenland and Iceland.","Geochemical analyses of Icelandic tephra preserved in lake sediments","Mooring Chemistry Arctic environment"
"doi:10.5065/D6JW8BX4","The United States Coast Guard Cutter (USCGC) Healy contains a 75-kHz phased-array Acoustic Doppler Current Profiler (ADCP) (Ocean Surveyor) mounted under the hull to transmit and receive echos of acoustic pulses from which to estimate vertical profiles of horizontal currents. Attitude information such as heading, pitch, and roll is provided by an Ashtech ADU2-3DGPS receiver while position data are provided by a Trimble Centurion p-code DGPS system. These data streams provide earth-referenced absolute horizontal currents and their vertical variations from about 20-m below the surface to the bottom or about 400-m depth. These data are 30 minute averages.","HLY-02-01 ADCP Data (30-min Averages) [Muenchow, A.]","Deep Sonar Arctic Oceanography"
